emotion,pixels
2,"[[244. 212. 132. ... 215. 217. 229.]
 [232. 189. 119. ... 220. 216. 217.]
 [213. 169.  80. ... 216. 227. 233.]
 ...
 [203. 194. 192. ... 123. 109.  79.]
 [212. 202. 199. ... 102. 109.  81.]
 [220. 219. 216. ...  45.  48.  50.]]"
2,"[[254. 218. 161. ... 217. 222. 232.]
 [248. 231. 169. ... 222. 220. 226.]
 [226. 202. 133. ... 224. 225. 227.]
 ...
 [209. 207. 200. ... 127. 103.  72.]
 [213. 209. 207. ...  83.  75.  64.]
 [225. 223. 219. ...  67.  59.  79.]]"
2,"[[234. 191. 105. ... 224. 227. 230.]
 [211. 154.  71. ... 216. 216. 213.]
 [201. 133.  43. ... 226. 229. 228.]
 ...
 [202. 194. 190. ... 114.  92.  69.]
 [205. 204. 201. ... 108.  91.  56.]
 [218. 216. 213. ...  50.  46.  73.]]"
2,"[[255. 244. 193. ... 222. 221. 230.]
 [250. 230. 178. ... 224. 218. 220.]
 [230. 208. 135. ... 215. 227. 232.]
 ...
 [209. 203. 198. ... 127. 127.  98.]
 [210. 210. 201. ...  78.  78.  64.]
 [228. 223. 221. ...  76.  64.  57.]]"
2,"[[218. 156.  76. ... 246. 232. 223.]
 [201. 130.  56. ... 231. 226. 224.]
 [213. 121.  41. ... 205. 221. 223.]
 ...
 [205. 200. 191. ... 102. 134. 142.]
 [208. 199. 196. ... 127. 146. 126.]
 [210. 197. 197. ... 114. 104. 112.]]"
2,"[[217. 145.  64. ... 243. 244. 236.]
 [203. 126.  46. ... 215. 214. 217.]
 [214. 119.  48. ... 199. 216. 231.]
 ...
 [181. 178. 186. ... 140.  96.  99.]
 [198. 196. 188. ... 100. 107. 144.]
 [204. 200. 196. ... 129. 133. 129.]]"
2,"[[146.  67.  17. ... 234. 236. 223.]
 [103.  26.   4. ... 238. 233. 222.]
 [ 90.  28.  14. ... 210. 214. 215.]
 ...
 [174. 174. 162. ... 145. 147. 130.]
 [180. 178. 177. ... 131. 111.  95.]
 [190. 185. 185. ... 103. 119. 133.]]"
2,"[[144.  62.  19. ... 240. 242. 233.]
 [119.  44.   9. ... 210. 221. 221.]
 [109.  37.  16. ... 205. 215. 226.]
 ...
 [175. 175. 174. ... 149. 144. 144.]
 [179. 181. 186. ... 145.  91. 104.]
 [199. 188. 182. ... 110. 114. 141.]]"
2,"[[200. 118.  50. ... 222. 239. 233.]
 [169.  81.  28. ... 199. 212. 213.]
 [194.  92.  35. ... 205. 207. 228.]
 ...
 [174. 174. 174. ... 156. 133. 133.]
 [186. 186. 188. ... 154. 116. 109.]
 [202. 198. 192. ... 108. 118. 157.]]"
2,"[[150.  62.  21. ... 230. 238. 229.]
 [162.  69.  19. ... 211. 207. 211.]
 [132.  48.  15. ... 200. 205. 223.]
 ...
 [176. 178. 179. ... 152. 119. 108.]
 [198. 183. 179. ... 107.  95. 126.]
 [204. 194. 191. ... 115. 134. 148.]]"
2,"[[237. 224. 158. ... 205. 236. 245.]
 [226. 193. 113. ... 206. 218. 219.]
 [242. 214. 109. ... 193. 193. 219.]
 ...
 [176. 176. 179. ... 170. 146. 106.]
 [199. 205. 199. ... 132. 111. 116.]
 [207. 206. 196. ... 120. 123. 133.]]"
